Symbol,Name,Signal,DailyDirection,Price,_RSI_15,_RVOL_15,_RATING_15,Company News,Market Sentiment,News Score,News Signal,News Headline,News Articles
SBILIFE,SBILIFE,STRONG SELL,SELL,1747.7,43.377993576766606,6.5692060085836905,-0.5575757575757576,NEUTRAL,NEGATIVE,-0.15,NEUTRAL,"SBI Life, Max Fin, HDFC Life, LIC share price targets: IRDAI may need to revisit proposed cap, says Systematix - Business Today",1
MAHABANK,MAHABANK,STRONG BUY,BUY,84.7,69.05282858134507,2.080684712192552,0.603030303030303,NEUTRAL,NEGATIVE,-0.15,NEUTRAL,No recent company news found,0
GODFRYPHLP,GODFRYPHLP,STRONG SELL,SELL,1970.0,40.905669019508906,3.6306068601583115,-0.5575757575757576,NEUTRAL,NEGATIVE,-0.15,NEUTRAL,No recent company news found,0
GESHIP,GESHIP,STRONG BUY,BUY,1497.05,69.81453889297484,4.762598800381187,0.603030303030303,NEUTRAL,NEGATIVE,-0.15,NEUTRAL,No recent company news found,0
WELSPUNLIV,WELSPUNLIV,STRONG BUY,BUY,224.68,66.07421825056088,2.994761769121957,0.5575757575757576,NEUTRAL,NEGATIVE,-0.15,NEUTRAL,No recent company news found,0
THELEELA,THELEELA,STRONG BUY,BUY,546.15,61.289556347194875,3.0299455025563233,0.5363636363636364,NEUTRAL,NEGATIVE,-0.15,NEUTRAL,No recent company news found,0
JUBLPHARMA,JUBLPHARMA,STRONG BUY,BUY,1074.15,64.35118067354351,6.033007334963325,0.603030303030303,NEUTRAL,NEGATIVE,-0.15,NEUTRAL,No recent company news found,0
BAYERCROP,BAYERCROP,STRONG SELL,SELL,3715.95,42.1763031645133,2.1122994652406417,-0.5121212121212121,NEUTRAL,NEGATIVE,-0.15,NEUTRAL,Bayer CropScience Share Price Today: 52-Week Low Update - Univest,1
PARADEEP,PARADEEP,STRONG BUY,BUY,155.49,55.19813112496185,2.383002520848764,0.5121212121212121,NEUTRAL,NEGATIVE,-0.15,NEUTRAL,No recent company news found,0
SEDEMAC,SEDEMAC,STRONG BUY,BUY,3444.9,67.9324420067662,2.484049106749978,0.6484848484848484,NEUTRAL,NEGATIVE,-0.15,NEUTRAL,"Stocks to Watch Today: NSE, SpectraA Technology, Sonaselection, Meesho, Sedemac Mechatronics, Welspun... - Moneycontrol.com",3
QPOWER,QPOWER,STRONG BUY,BUY,1519.0,54.260335297711244,3.4840368545103924,0.603030303030303,NEUTRAL,NEGATIVE,-0.15,NEUTRAL,No recent company news found,0
